Track : Gimme Shelter |  Artist : The Rolling Stones
Track : Send Me A Postcard |  Artist : Shocking Blue
Track : Itchycoo Park |  Artist : Small Faces
Track : The Weight - Remastered |  Artist : The Band
Track : Magic Carpet Ride |  Artist : Steppenwolf
Track : All Day and All of the Night |  Artist : The Kinks

Track : Ain’t Got No Money |  Artist : Justin Townes Earle
Track : Avalanche |  Artist : Maja Lena
Track : Francis |  Artist : Haley Heynderickx
Track : Causing Trouble - Kormac Remix |  Artist : Saint Sister
Track : Oh, Sister [Feat. Courtney Marie Andrews] |  Artist : Logan Ledger
Track : Ill Wind |  Artist : Radiohead
Track : Kyoto |  Artist : Phoebe Bridgers
Track : Third Way |  Artist : Nick Mulvey
Track : La Yarará - Single Version |  Artist : Malena Zavala
Track : Stay High |  Artist : Brittany Howard
Track : Red Bull & Hennessy |  Artist : Jenny Lewis
Track : Cigar |  Artist : Tamino
Track : I Was Wrong |  Artist : BAILEN
Track : I Feel an Urge Coming On |  Artist : Nick Waterhouse
Track : Desire |  Artist : Liza Anne
Track : Seventeen |  Artist : Sharon Van Etten
Track : Swimming Backwards |  Artist : There
Track : SYWD |  Artist : Husky
Track : Lose My Mind |  Artist : The Wild Reeds
Track : The Duffler - Acoustic |  Artist : Fantastic Negrito
Track : Causing Trouble |  Artist : Saint Sister
Track : Movement |  Artist : Hozier
Track : Deep Love |  Artist : Lady Lamb
Track : Lo/Hi |  Artist : The Black Keys
Track : UFOF |  Artist : Big Thief
Track : Saying Goodbye |  Artist : Ondara
Track : Paradise Bay |  Artist : Darlingside
Track : Calling Me Home (with Francesco Turrisi) |  Artist : Rhiannon Giddens
Track : Freak - Radio Edit |  Artist : King Charles
Track : Lincoln |  Artist : Damien Jurado
Track : Hope Dreams |  Artist : Piers Faccini
Track : Sanctuary |  Artist : Hiss Golden Messenger
Track : Got a Lotta Love |  Artist : The Cactus Blossoms
Track : Failure |  Artist : The Staves
Track : Holding to the Edge of Night |  Artist : Samantha Crain
Track : Crazy World (Judgement Day) |  Artist : Jamestown Revival
Track : Gimme the Beat Back |  Artist : Jill Andrews
Track : The Long Way Home |  Artist : John Paul White
Track : A Trick of the Light |  Artist : Villagers
Track : Cosmic Dancer |  Artist : Valerie June
Track : Forever Half Mast |  Artist : Lucy Dacus
Track : Not Yet |  Artist : Izaak Opatz
Track : Sisyphus |  Artist : Andrew Bird
Track : Black Eyed Dog |  Artist : Ben Harper
Track : Images of Love |  Artist : A.A. Bondy
Track : Moment Of Surrender |  Artist : Nick Mulvey
Track : When You're Away |  Artist : Robert Ellis
Track : Makes Me Wonder |  Artist : Caleb Elliott
Track : Headstart |  Artist : Jade Bird
Track : Good Woman |  Artist : The Staves
Track : Coast |  Artist : Participant
Track : The Barrel |  Artist : Aldous Harding
Track : Everybody Needs Somebody |  Artist : Hiss Golden Messenger
Track : Dylan Thomas |  Artist : Better Oblivion Community Center
Track : All of My Love |  Artist : Nadia Reid
Track : Rock Me Gently |  Artist : Yola
Track : Dope Queen Blues |  Artist : Adia Victoria
Track : Canyonheart |  Artist : Israel Nash
Track : Gay Bar |  Artist : Rosie Tucker
Track : Strange Girl |  Artist : Laura Marling
Track : No Halo |  Artist : Kevin Morby
Track : Old Black Magic |  Artist : Josh Ritter
Track : Ruby |  Artist : Strand of Oaks
Track : Labyrinth - Acoustic |  Artist : A Blaze of Feather
Track : Suspirium |  Artist : Thom Yorke
Track : Can’t Do Much |  Artist : Waxahatchee
Track : August |  Artist : Shannon Lay
Track : Turn Off The News (Build A Garden) - Acoustic |  Artist : Lukas Nelson and Promise of the Real
Track : The Running Styles of New York |  Artist : The Tallest Man On Earth
Track : The Colony |  Artist : Vera Sola
Track : Ballad Of A Thin Place |  Artist : RF Shannon
Track : Evergreen |  Artist : Wye Oak
Track : A World So Full of Love |  Artist : Shakey Graves
Track : You Had Your Soul With You |  Artist : The National
Track : Looking For Love |  Artist : Soko
Track : Olympians - Acoustic |  Artist : Andrew Bird
Track : Stars Of Longing |  Artist : Andrew Combs
Track : Soft Spoken |  Artist : Naia Izumi
Track : I Get No Joy |  Artist : Jade Bird
Track : What A Day - Edit |  Artist : Ben Howard
Track : Held Down |  Artist : Laura Marling
Track : I Need a Teacher |  Artist : Hiss Golden Messenger
Track : A Dream Of Home |  Artist : Tyler Ramsey
Track : Same Soul |  Artist : Lauren Ruth Ward
Track : Under the Concrete |  Artist : Joshua Burnside
Track : Bodies |  Artist : Tunng
Track : Out The Door |  Artist : Esmé Patterson
Track : Everything Is Free - Recorded at Spotify Studios NYC |  Artist : Father John Misty

Track : Human Performance |  Artist : Parquet Courts
Track : North East South West |  Artist : Japandroids
Track : How Deep Is Your Love? |  Artist : The Rapture
Track : Echoes |  Artist : The Rapture
Track : Whistle For The Choir |  Artist : The Fratellis
Track : Romantic Rights |  Artist : Death From Above 1979
Track : Ocean of Night |  Artist : Editors
Track : Painted By Numbers |  Artist : The Sounds
Track : Blood Red Youth |  Artist : California Wives
Track : Do I Wanna Know? |  Artist : Arctic Monkeys
Track : Time For Heroes |  Artist : The Libertines
Track : Nothing |  Artist : The Catheters
Track : Golden Skans |  Artist : Klaxons
Track : Flux |  Artist : Bloc Party
Track : An End Has A Start |  Artist : Editors
Track : Near To The Wild Heart Of Life |  Artist : Japandroids
Track : Help I'm Alive |  Artist : Metric
Track : Smash It Up! |  Artist : The (International) Noise Conspiracy
Track : The Hardest Button to Button |  Artist : The White Stripes
Track : Heads Will Roll |  Artist : Yeah Yeah Yeahs
Track : Main Offender |  Artist : The Hives
Track : Flesh War |  Artist : Total Control
Track : After Hours |  Artist : We Are Scientists
